Sample	adapter_content	Sequences flagged as poor quality	sequence_duplication_levels	avg_sequence_length	Encoding	per_base_sequence_quality	sequence_length_distribution	Sequence length	File type	basic_statistics	per_sequence_gc_content	Total Sequences	per_base_n_content	per_base_sequence_content	overrepresented_sequences	%GC	total_deduplicated_percentage	Filename	per_tile_sequence_quality	per_sequence_quality_scores
1MRLA_S9_R1_001_val_1	pass	0.0	pass	69.3123516849	Sanger / Illumina 1.9	pass	warn	20-76	Conventional base calls	pass	warn	24812032.0	pass	fail	pass	33.0	81.0757808468	1MRLA_S9_R1_001_val_1.fq.gz	pass	pass
1MRLA_S9_R2_001_val_2	pass	0.0	pass	73.9948155798	Sanger / Illumina 1.9	pass	warn	20-76	Conventional base calls	pass	warn	24812032.0	pass	fail	warn	32.0	81.7771342763	1MRLA_S9_R2_001_val_2.fq.gz	pass	pass
1PEM_S1_R1_001_val_1	pass	0.0	pass	69.2008809489	Sanger / Illumina 1.9	pass	warn	20-76	Conventional base calls	pass	pass	19923517.0	pass	fail	pass	33.0	82.0729898824	1PEM_S1_R1_001_val_1.fq.gz	pass	pass
1PEM_S1_R2_001_val_2	pass	0.0	pass	73.970946495	Sanger / Illumina 1.9	pass	warn	20-76	Conventional base calls	pass	warn	19923517.0	pass	fail	warn	31.0	82.662998206	1PEM_S1_R2_001_val_2.fq.gz	pass	pass
1RDAS_S11_R1_001_val_1	pass	0.0	pass	69.001949435	Sanger / Illumina 1.9	pass	warn	20-76	Conventional base calls	pass	pass	22668619.0	pass	fail	pass	33.0	77.873851236	1RDAS_S11_R1_001_val_1.fq.gz	pass	pass
1RDAS_S11_R2_001_val_2	pass	0.0	pass	73.9277897785	Sanger / Illumina 1.9	pass	warn	20-76	Conventional base calls	pass	warn	22668619.0	pass	fail	warn	32.0	79.5523955432	1RDAS_S11_R2_001_val_2.fq.gz	pass	pass
20_P_ES_S30_R1_001_val_1	pass	0.0	pass	68.6024284252	Sanger / Illumina 1.9	pass	warn	20-76	Conventional base calls	pass	pass	17892748.0	pass	fail	pass	35.0	71.0532649812	20_P_ES_S30_R1_001_val_1.fq.gz	pass	pass
20_P_ES_S30_R2_001_val_2	pass	0.0	pass	74.0189656726	Sanger / Illumina 1.9	pass	warn	20-76	Conventional base calls	pass	pass	17892748.0	pass	fail	warn	33.0	76.3340028891	20_P_ES_S30_R2_001_val_2.fq.gz	pass	pass
21_P_ME_S31_R1_001_val_1	pass	0.0	warn	68.0524847	Sanger / Illumina 1.9	pass	warn	20-76	Conventional base calls	pass	warn	23365819.0	pass	fail	pass	35.0	67.7187945808	21_P_ME_S31_R1_001_val_1.fq.gz	pass	pass
21_P_ME_S31_R2_001_val_2	pass	0.0	pass	74.0196237932	Sanger / Illumina 1.9	pass	warn	20-76	Conventional base calls	pass	warn	23365819.0	pass	fail	warn	33.0	73.1418929472	21_P_ME_S31_R2_001_val_2.fq.gz	pass	pass
22_P_CE_S32_R1_001_val_1	pass	0.0	warn	68.4040910345	Sanger / Illumina 1.9	pass	warn	20-76	Conventional base calls	pass	warn	20671055.0	pass	fail	pass	35.0	68.9809357714	22_P_CE_S32_R1_001_val_1.fq.gz	pass	pass
22_P_CE_S32_R2_001_val_2	pass	0.0	pass	74.030659393	Sanger / Illumina 1.9	pass	warn	20-76	Conventional base calls	pass	pass	20671055.0	pass	fail	warn	33.0	74.2495204868	22_P_CE_S32_R2_001_val_2.fq.gz	pass	pass
23_P_FA_S33_R1_001_val_1	pass	0.0	warn	68.7712030572	Sanger / Illumina 1.9	pass	warn	20-76	Conventional base calls	pass	pass	21027121.0	pass	fail	pass	35.0	68.9755410734	23_P_FA_S33_R1_001_val_1.fq.gz	pass	pass
23_P_FA_S33_R2_001_val_2	pass	0.0	pass	74.0099702665	Sanger / Illumina 1.9	pass	warn	20-76	Conventional base calls	pass	pass	21027121.0	pass	fail	warn	33.0	74.7036834788	23_P_FA_S33_R2_001_val_2.fq.gz	pass	pass
2AF_S2_R1_001_val_1	pass	0.0	pass	67.2264978511	Sanger / Illumina 1.9	pass	warn	20-74	Conventional base calls	pass	pass	27578659.0	pass	fail	pass	34.0	77.9197083819	2AF_S2_R1_001_val_1.fq.gz	pass	pass
2AF_S2_R2_001_val_2	pass	0.0	pass	72.0349643541	Sanger / Illumina 1.9	pass	warn	20-74	Conventional base calls	pass	warn	27578659.0	pass	fail	warn	32.0	80.3096713713	2AF_S2_R2_001_val_2.fq.gz	pass	pass
2HS_S7_R1_001_val_1	pass	0.0	pass	67.623534523	Sanger / Illumina 1.9	pass	warn	20-74	Conventional base calls	pass	pass	27164961.0	pass	fail	pass	34.0	81.2666220059	2HS_S7_R1_001_val_1.fq.gz	pass	pass
2HS_S7_R2_001_val_2	pass	0.0	pass	72.0754746528	Sanger / Illumina 1.9	pass	warn	20-74	Conventional base calls	pass	warn	27164961.0	pass	fail	warn	32.0	83.0501603416	2HS_S7_R2_001_val_2.fq.gz	pass	pass
2MRPF_S10_R1_001_val_1	pass	0.0	pass	69.1343758791	Sanger / Illumina 1.9	pass	warn	20-76	Conventional base calls	pass	pass	21985605.0	pass	fail	pass	33.0	79.3573705957	2MRPF_S10_R1_001_val_1.fq.gz	pass	pass
2MRPF_S10_R2_001_val_2	pass	0.0	pass	73.9182576054	Sanger / Illumina 1.9	pass	warn	20-76	Conventional base calls	pass	warn	21985605.0	pass	fail	warn	32.0	80.2541311995	2MRPF_S10_R2_001_val_2.fq.gz	pass	pass
2PSL_S2_R1_001_val_1	pass	0.0	pass	69.2500170736	Sanger / Illumina 1.9	pass	warn	20-76	Conventional base calls	pass	warn	21260916.0	pass	fail	pass	33.0	78.3307484514	2PSL_S2_R1_001_val_1.fq.gz	pass	pass
2PSL_S2_R2_001_val_2	pass	0.0	pass	73.9391650858	Sanger / Illumina 1.9	pass	warn	20-76	Conventional base calls	pass	warn	21260916.0	pass	fail	warn	32.0	79.7337127878	2PSL_S2_R2_001_val_2.fq.gz	pass	pass
2RDAM_S12_R1_001_val_1	pass	0.0	pass	70.0926612347	Sanger / Illumina 1.9	pass	warn	20-76	Conventional base calls	pass	pass	22229080.0	pass	fail	pass	33.0	82.1907580907	2RDAM_S12_R1_001_val_1.fq.gz	pass	pass
2RDAM_S12_R2_001_val_2	pass	0.0	pass	74.0246302591	Sanger / Illumina 1.9	pass	warn	20-76	Conventional base calls	pass	warn	22229080.0	pass	fail	warn	32.0	82.7473762094	2RDAM_S12_R2_001_val_2.fq.gz	pass	pass
3HS_S8_R1_001_val_1	pass	0.0	pass	67.2174613843	Sanger / Illumina 1.9	pass	warn	20-74	Conventional base calls	pass	pass	23192136.0	pass	fail	pass	34.0	80.3258238047	3HS_S8_R1_001_val_1.fq.gz	pass	pass
3HS_S8_R2_001_val_2	pass	0.0	pass	72.0270139844	Sanger / Illumina 1.9	pass	warn	20-74	Conventional base calls	pass	warn	23192136.0	pass	fail	warn	32.0	82.354936712	3HS_S8_R2_001_val_2.fq.gz	pass	pass
3PDR_S3_R1_001_val_1	pass	0.0	pass	69.4848071723	Sanger / Illumina 1.9	pass	warn	20-76	Conventional base calls	pass	pass	23911579.0	pass	fail	pass	33.0	80.3526967612	3PDR_S3_R1_001_val_1.fq.gz	pass	pass
3PDR_S3_R2_001_val_2	pass	0.0	pass	73.9852739963	Sanger / Illumina 1.9	pass	warn	20-76	Conventional base calls	pass	warn	23911579.0	pass	fail	warn	32.0	80.8926566257	3PDR_S3_R2_001_val_2.fq.gz	pass	pass
3RAM_S13_R1_001_val_1	pass	0.0	pass	68.7305829076	Sanger / Illumina 1.9	pass	warn	20-76	Conventional base calls	pass	pass	23381423.0	pass	fail	pass	33.0	80.3401323874	3RAM_S13_R1_001_val_1.fq.gz	pass	pass
3RAM_S13_R2_001_val_2	pass	0.0	pass	73.9758283317	Sanger / Illumina 1.9	pass	warn	20-76	Conventional base calls	pass	warn	23381423.0	pass	fail	warn	32.0	81.4879342167	3RAM_S13_R2_001_val_2.fq.gz	pass	pass
3_MR_MF_S16_R1_001_val_1	pass	0.0	warn	67.9137925153	Sanger / Illumina 1.9	pass	warn	20-76	Conventional base calls	pass	pass	21225164.0	pass	fail	pass	35.0	68.7563213924	3_MR_MF_S16_R1_001_val_1.fq.gz	pass	pass
3_MR_MF_S16_R2_001_val_2	pass	0.0	pass	74.0155665228	Sanger / Illumina 1.9	pass	warn	20-76	Conventional base calls	pass	pass	21225164.0	pass	fail	warn	33.0	74.2699558864	3_MR_MF_S16_R2_001_val_2.fq.gz	pass	pass
4AF_S4_R1_001_val_1	pass	0.0	pass	67.3976572447	Sanger / Illumina 1.9	pass	warn	20-74	Conventional base calls	pass	pass	26134356.0	pass	fail	pass	34.0	81.1162385907	4AF_S4_R1_001_val_1.fq.gz	pass	pass
4AF_S4_R2_001_val_2	pass	0.0	pass	72.0689311036	Sanger / Illumina 1.9	pass	warn	20-74	Conventional base calls	pass	warn	26134356.0	pass	fail	warn	32.0	83.0288322453	4AF_S4_R2_001_val_2.fq.gz	pass	pass
4HS_S9_R1_001_val_1	pass	0.0	pass	67.1804231756	Sanger / Illumina 1.9	pass	warn	20-74	Conventional base calls	pass	pass	28266280.0	pass	fail	pass	34.0	79.5065464424	4HS_S9_R1_001_val_1.fq.gz	pass	pass
4HS_S9_R2_001_val_2	pass	0.0	pass	72.0545395432	Sanger / Illumina 1.9	pass	warn	20-74	Conventional base calls	pass	warn	28266280.0	pass	fail	warn	32.0	82.0579296695	4HS_S9_R2_001_val_2.fq.gz	pass	pass
4PSR_S4_R1_001_val_1	pass	0.0	pass	69.359226444	Sanger / Illumina 1.9	pass	warn	20-76	Conventional base calls	pass	warn	23593483.0	pass	fail	pass	33.0	79.6855365737	4PSR_S4_R1_001_val_1.fq.gz	pass	pass
4PSR_S4_R2_001_val_2	pass	0.0	pass	73.9553352085	Sanger / Illumina 1.9	pass	warn	20-76	Conventional base calls	pass	warn	23593483.0	pass	fail	warn	32.0	80.3517074854	4PSR_S4_R2_001_val_2.fq.gz	pass	pass
4RRS_S14_R1_001_val_1	pass	0.0	pass	69.231958723	Sanger / Illumina 1.9	pass	warn	20-76	Conventional base calls	pass	pass	20534813.0	pass	fail	pass	33.0	81.9706632763	4RRS_S14_R1_001_val_1.fq.gz	pass	pass
4RRS_S14_R2_001_val_2	pass	0.0	pass	73.9663052203	Sanger / Illumina 1.9	pass	warn	20-76	Conventional base calls	pass	warn	20534813.0	pass	fail	warn	32.0	82.4780841255	4RRS_S14_R2_001_val_2.fq.gz	pass	pass
4_MR_CL_S17_R1_001_val_1	pass	0.0	warn	69.0538113033	Sanger / Illumina 1.9	pass	warn	20-76	Conventional base calls	pass	warn	30770524.0	pass	fail	pass	35.0	62.8904419187	4_MR_CL_S17_R1_001_val_1.fq.gz	pass	pass
4_MR_CL_S17_R2_001_val_2	pass	0.0	warn	73.9941832645	Sanger / Illumina 1.9	pass	warn	20-76	Conventional base calls	pass	pass	30770524.0	pass	fail	warn	33.0	69.4583826125	4_MR_CL_S17_R2_001_val_2.fq.gz	pass	pass
5AF_S5_R1_001_val_1	pass	0.0	pass	67.9288929149	Sanger / Illumina 1.9	pass	warn	20-74	Conventional base calls	pass	pass	22433967.0	pass	fail	pass	33.0	79.9792198911	5AF_S5_R1_001_val_1.fq.gz	pass	pass
