15_R_RN_S11_R2_001_val_2	3402.0	3419.0	4004.0	3803.0	4016.0	3650.0	3474.0	3378.0	3179.0	3224.0	3282.0	3455.0	3411.0	3536.0	3719.0	4334.0	4619.0	4662.0	5231.0	5941.0	6707.0	8282.0	11360.0	16913.0	70731.0	234192.0	4922928.0	11097694.0	6244633.0
	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76
16_HS_S5_R1_001_val_1	1697.0	5168.0	18442.0	33441.0	50799.0	74241.0	106439.0	117237.0	126985.0	149055.0	166850.0	160260.0	150013.0	149334.0	164338.0	215535.0	228226.0	196350.0	172312.0	166876.0	167531.0	167878.0	165048.0	196311.0	722780.0	928735.0	2895578.0	212074.0	6380834.0
	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76
16_HS_S5_R2_001_val_2	1958.0	2112.0	2457.0	2327.0	2475.0	2172.0	2103.0	2015.0	1811.0	1822.0	1911.0	1973.0	2091.0	2172.0	2318.0	2586.0	2781.0	3075.0	3311.0	3800.0	4023.0	5392.0	7174.0	10764.0	40075.0	132607.0	2882007.0	7015076.0	4145979.0
	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76
16_P_CV_S26_R1_001_val_1	2109.0	5547.0	17980.0	29927.0	44996.0	65962.0	93339.0	101445.0	111002.0	130129.0	144552.0	137999.0	129649.0	130790.0	143153.0	189229.0	201369.0	171647.0	154549.0	154126.0	155412.0	154646.0	154180.0	187079.0	714876.0	919485.0	3130245.0	230085.0	6973402.0
	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76
16_P_CV_S26_R2_001_val_2	2079.0	2118.0	2569.0	2301.0	2356.0	2215.0	2088.0	2030.0	2000.0	1923.0	1941.0	2069.0	2134.0	2269.0	2388.0	2730.0	2901.0	3194.0	3492.0	3894.0	4333.0	5570.0	7243.0	11056.0	38862.0	125423.0	2990363.0	7263360.0	4284008.0
	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76
16_R_TG_S12_R1_001_val_1	3054.0	9788.0	35468.0	63841.0	95530.0	134571.0	186957.0	204957.0	218063.0	251347.0	282212.0	270754.0	251083.0	248721.0	270483.0	351333.0	379915.0	325295.0	285185.0	276330.0	273667.0	271522.0	266661.0	313351.0	1102823.0	1497326.0	4597765.0	337926.0	10044024.0
	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76
16_R_TG_S12_R2_001_val_2	3055.0	3222.0	3877.0	3406.0	3581.0	3138.0	3095.0	3032.0	2697.0	2745.0	2880.0	2977.0	3096.0	3243.0	3551.0	3905.0	4404.0	4634.0	4989.0	5733.0	6352.0	8220.0	11043.0	16652.0	67085.0	220931.0	4448434.0	11228039.0	6771936.0
	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76
17_HS_S6_R1_001_val_1	5165.0	14796.0	51214.0	91240.0	134294.0	188986.0	264744.0	282810.0	293283.0	332573.0	362403.0	341679.0	313110.0	303623.0	325055.0	421394.0	439291.0	369880.0	323096.0	310703.0	306653.0	301807.0	291219.0	350556.0	1270418.0	1628150.0	5028615.0	377515.0	11050940.0
	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76
17_HS_S6_R2_001_val_2	3516.0	3479.0	4169.0	3939.0	4158.0	3825.0	3517.0	3454.0	3261.0	3241.0	3277.0	3617.0	3690.0	3724.0	3986.0	4564.0	5040.0	5363.0	5800.0	6685.0	7672.0	9847.0	12849.0	19589.0	87529.0	288153.0	5172119.0	12598841.0	7496308.0
	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76
17_P_FA_S27_R1_001_val_1	1818.0	5971.0	18529.0	34964.0	50006.0	67699.0	81417.0	89774.0	98056.0	109037.0	116499.0	121435.0	125731.0	125522.0	128158.0	141421.0	151285.0	148870.0	146911.0	150072.0	151716.0	153834.0	153980.0	162928.0	252722.0	422307.0	1906013.0	153412.0	4902613.0
	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76
